name,dorsal,team,position,age,height,weight,nationality,appearances,substitute_sppearances,total_goals,assists,shots,shots_on_target,fouls_committed,fouls_suffered,yellow_cards,red_cards,ratio_goalshots,ratio_assists_appearances,ratio_total_goalss_appearances,ratio_total_fouls_committed_appearances,ratio_total_fouls_suffered_appearances,ratio_total_yellow_cards_appearances,ratio_total_red_cards_appearances
Vinícius Júnior ,20,real-madrid,F,20,"1,55",72.45,Brazil,34,13,3,3,39,12,25,54,3,0,0.25,0.08823529411764706,0.08823529411764706,0.7352941176470589,1.588235294117647,0.08823529411764706,0.0
Mariano ,24,real-madrid,F,27,"1,82",75.60000000000001,Dominican Republic,15,10,1,0,15,4,7,4,0,0,0.25,0.0,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.0,0.0
Rodrygo ,25,real-madrid,F,20,"1,76",61.65,Brazil,21,11,1,5,25,5,14,21,0,0,0.2,0.23809523809523808,0.047619047619047616,0.6666666666666666,1.0,0.0,0.0
Hugo Duro,34,real-madrid,F,21,"1,55",68.4,Spain,2,2,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Oscar Aranda Subiela,43,real-madrid,F,19,"1,55",0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Joseba Zaldúa,2,real-sociedad,D,28,"1,79",68.4,Spain,12,6,0,0,2,1,13,9,3,0,0.0,0.0,0.0,1.0833333333333333,0.75,0.25,0.0
Aritz Elustondo,6,real-sociedad,D,27,"1,55",70.65,Spain,22,1,1,0,6,2,21,24,5,0,0.5,0.0,0.045454545454545456,0.9545454545454546,1.0909090909090908,0.22727272727272727,0.0
Aihen Muñoz,12,real-sociedad,D,23,"1,79",71.55,Spain,16,2,0,1,4,1,18,8,6,0,0.0,0.0625,0.0,1.125,0.5,0.375,0.0
Modibo Sagnan,15,real-sociedad,D,22,"1,88",76.5,France,16,9,0,0,5,1,13,4,3,0,0.0,0.0,0.0,0.8125,0.25,0.1875,0.0
Gorosabel ,18,real-sociedad,D,24,"1,79",72.45,Spain,31,4,0,1,9,2,34,27,3,0,0.0,0.03225806451612903,0.0,1.096774193548387,0.8709677419354839,0.0967741935483871,0.0
Nacho Monreal,20,real-sociedad,D,35,"1,55",71.55,Spain,25,3,1,1,12,1,23,14,1,0,1.0,0.04,0.04,0.92,0.56,0.04,0.0
Robin Le Normand,24,real-sociedad,D,24,"1,88",78.3,France,32,3,0,1,19,1,41,18,5,1,0.0,0.03125,0.0,1.28125,0.5625,0.15625,0.03125
Jon Pacheco Dozagarat,26,real-sociedad,D,20,"1,82",76.5,Spain,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
